id,name,initials,era,country,tier,power,accuracy,approach,shortgame,putting,clutch,mental,consistency,scrambling,management,wedge,creativity
1,Tiger Woods,TW,Modern,US,1,88,85,96,92,89,99,99,96,94,96,92,92
2,Jack Nicklaus,JN,Classic,US,1,85,82,92,88,87,97,99,97,82,99,82,85
3,Ben Hogan,BH,Classic,US,1,79,96,95,87,82,90,96,99,78,97,88,80
4,Seve Ballesteros,SB,Classic,ES,1,82,64,91,98,85,95,90,74,99,78,98,99
5,Tom Watson,TW,Classic,US,1,78,88,91,90,88,93,90,91,88,91,88,84
6,Arnold Palmer,AP,Classic,US,1,83,78,87,86,85,95,92,87,86,86,84,88
7,Gary Player,GP,Classic,ZA,1,75,84,87,90,84,92,95,90,92,90,88,87
8,Sam Snead,SS,Classic,US,1,85,84,88,91,88,88,87,90,88,88,86,86
9,Lee Trevino,LT,Classic,US,1,76,92,88,90,87,90,89,90,90,90,88,90
10,Nick Faldo,NF,Classic,ENG,1,80,90,90,88,85,92,96,97,80,95,87,76
11,Greg Norman,GN,Classic,AU,1,93,80,92,84,82,70,72,84,82,85,84,86
12,Rory McIlroy,RM,Modern,NIR,1,97,80,90,84,83,82,80,86,82,82,84,84
13,Phil Mickelson,PM,Modern,US,1,86,62,88,98,84,90,84,72,97,74,99,99
14,Scottie Scheffler,SC,Modern,US,1,88,84,94,88,84,88,90,92,84,90,86,82
15,Jon Rahm,JR,Modern,ES,1,91,82,91,87,87,90,90,88,84,88,87,83
16,Walter Hagen,WH,Classic,US,1,78,76,85,94,86,96,95,78,97,88,88,95
17,Gene Sarazen,GS,Classic,US,1,76,80,88,90,84,94,90,86,88,90,91,87
18,Byron Nelson,BN,Classic,US,1,80,90,93,86,85,88,90,96,80,90,84,80
19,Billy Casper,BC,Classic,US,1,72,86,86,88,96,90,90,92,86,90,84,74
20,Raymond Floyd,RF,Classic,US,1,80,78,88,88,84,93,91,86,86,89,84,80
21,Hale Irwin,HI,Classic,US,1,76,88,88,84,82,90,92,92,82,91,82,76
22,Johnny Miller,JM,Classic,US,1,80,90,97,82,82,86,76,74,72,80,86,82
23,Brooks Koepka,BK,Modern,US,1,92,80,88,84,83,96,97,78,76,84,83,76
24,Ernie Els,EE,Modern,ZA,1,88,83,91,87,85,87,86,87,84,88,86,84
25,Nick Price,NP,Classic,ZW,1,84,84,90,85,84,86,86,88,82,85,84,80
26,Vijay Singh,VS,Modern,FJ,2,90,82,90,87,83,85,87,92,82,86,86,80
27,Dustin Johnson,DJ,Modern,US,2,96,78,88,82,82,82,88,88,78,74,76,78
28,Adam Scott,AS,Modern,AU,2,85,83,94,85,85,82,76,78,73,77,84,80
29,Justin Rose,JR,Modern,ENG,2,82,86,94,85,84,88,93,94,88,94,85,82
30,Bernhard Langer,BL,Classic,DE,2,74,88,87,84,86,88,95,96,82,96,82,78
31,Colin Montgomerie,CM,Classic,SCO,2,80,94,90,86,84,72,74,94,80,92,84,80
32,Fred Couples,FC,Classic,US,2,90,78,87,86,83,85,90,78,84,78,84,90
33,Curtis Strange,CS,Classic,US,2,77,86,87,84,83,93,94,94,88,93,82,78
34,Jim Furyk,JF,Modern,US,2,74,95,87,86,88,87,90,94,85,93,84,70
35,Retief Goosen,RG,Modern,ZA,2,80,86,88,84,93,84,95,88,80,86,83,78
36,Padraig Harrington,PH,Modern,IE,2,80,82,87,87,84,93,94,80,92,86,86,86
37,Xander Schauffele,XS,Modern,US,2,86,84,90,87,86,87,92,92,83,88,85,82
38,Jordan Spieth,JS,Modern,US,2,80,74,87,90,97,94,84,76,95,88,90,94
39,Justin Thomas,JT,Modern,US,2,85,82,90,92,86,88,80,78,85,84,94,88
40,Collin Morikawa,CM,Modern,US,2,82,86,97,84,80,86,86,90,70,90,78,72
41,Jason Day,JD,Modern,AU,2,84,80,88,87,94,86,78,76,88,82,85,80
42,Henrik Stenson,HS,Classic,SE,2,88,86,96,84,82,88,88,90,70,87,78,72
43,Louis Oosthuizen,LO,Modern,ZA,2,82,84,95,84,83,82,90,91,86,89,82,78
