id,name,initials,era,country,tier,power,accuracy,approach,shortgame,putting,clutch,mental,consistency,scrambling,management,wedge,creativity
1,Tiger Woods,TW,Modern,US,1,88,85,96,92,89,99,99,95,91,94,90,90
2,Jack Nicklaus,JN,Classic,US,1,85,82,92,88,87,97,99,94,85,96,85,88
3,Ben Hogan,BH,Classic,US,1,79,96,95,87,82,90,95,96,82,95,89,85
4,Seve Ballesteros,SB,Classic,ES,1,82,72,91,98,85,95,93,82,99,90,97,99
5,Tom Watson,TW,Classic,US,1,78,88,91,90,88,93,90,91,88,91,88,84
6,Arnold Palmer,AP,Classic,US,1,83,78,87,86,85,95,92,87,86,86,84,88
7,Gary Player,GP,Classic,ZA,1,75,84,87,90,84,92,95,90,92,90,88,87
8,Sam Snead,SS,Classic,US,1,85,84,88,91,88,88,87,90,88,88,86,86
9,Lee Trevino,LT,Classic,US,1,76,92,88,90,87,90,89,90,90,90,88,90
10,Nick Faldo,NF,Classic,ENG,1,80,90,90,88,85,92,94,93,84,92,87,80
11,Greg Norman,GN,Classic,AU,1,90,80,90,84,82,75,78,82,82,85,84,84
12,Rory McIlroy,RM,Modern,IE,1,96,80,90,84,83,82,85,88,80,82,84,80
13,Phil Mickelson,PM,Modern,US,1,86,72,88,98,84,90,85,78,96,83,99,97
14,Scottie Scheffler,SC,Modern,US,1,88,84,94,88,84,88,90,92,84,90,86,82
15,Jon Rahm,JR,Modern,ES,1,91,82,91,87,87,90,90,88,84,88,87,83
16,Walter Hagen,WH,Classic,US,1,78,76,85,94,86,96,93,84,92,92,88,90
17,Gene Sarazen,GS,Classic,US,1,76,80,88,90,84,94,90,86,88,90,91,87
18,Byron Nelson,BN,Classic,US,1,80,90,93,86,85,88,90,96,80,90,84,80
19,Billy Casper,BC,Classic,US,1,72,86,86,88,95,90,88,90,86,88,84,78
20,Raymond Floyd,RF,Classic,US,1,80,78,88,88,84,93,91,86,86,89,84,80
21,Hale Irwin,HI,Classic,US,1,76,88,88,84,82,90,92,92,82,91,82,76
22,Johnny Miller,JM,Classic,US,1,80,90,94,82,82,86,80,80,78,82,86,82
23,Brooks Koepka,BK,Modern,US,1,92,80,88,84,83,94,93,82,80,85,83,76
24,Ernie Els,EE,Modern,ZA,1,88,83,91,87,85,87,86,87,84,88,86,84
25,Nick Price,NP,Classic,ZW,1,84,84,90,85,84,86,86,88,82,85,84,80
26,Vijay Singh,VS,Modern,FJ,2,86,82,90,87,83,85,87,90,82,86,85,80
27,Dustin Johnson,DJ,Modern,US,2,95,78,88,82,82,82,80,84,78,80,80,76
28,Adam Scott,AS,Modern,AU,2,85,83,89,85,85,82,83,85,80,84,84,80
29,Justin Rose,JR,Modern,ENG,2,82,86,89,85,84,88,87,88,82,88,85,82
30,Bernhard Langer,BL,Classic,DE,2,74,88,87,84,86,88,92,92,82,91,83,78
31,Colin Montgomerie,CM,Classic,SCO,2,80,89,90,86,84,78,84,91,80,89,84,80
32,Fred Couples,FC,Classic,US,2,86,78,87,86,83,85,82,82,84,82,84,86
33,Curtis Strange,CS,Classic,US,2,77,86,87,84,83,88,88,88,82,87,82,78
34,Jim Furyk,JF,Modern,US,2,74,90,87,86,88,87,88,90,85,89,84,75
35,Retief Goosen,RG,Modern,ZA,2,80,86,88,84,88,84,86,88,80,86,83,78
36,Padraig Harrington,PH,Modern,IE,2,80,82,87,87,84,90,89,84,86,86,86,82
37,Xander Schauffele,XS,Modern,US,2,86,84,90,87,86,87,85,87,83,85,85,82
38,Jordan Spieth,JS,Modern,US,2,80,82,87,90,94,92,86,82,92,88,90,86
39,Justin Thomas,JT,Modern,US,2,85,82,90,88,86,88,86,84,85,84,88,82
40,Collin Morikawa,CM,Modern,US,2,82,86,94,84,80,86,86,88,78,86,86,78
41,Jason Day,JD,Modern,AU,2,84,80,88,87,90,86,84,82,84,82,85,80
42,Henrik Stenson,HS,Classic,SE,2,84,86,93,84,82,88,90,86,78,87,84,76
43,Louis Oosthuizen,LO,Modern,ZA,2,82,84,90,84,83,82,84,85,80,83,82,78
44,Francesco Molinari,FM,Modern,IT,2,80,88,90,84,83,84,86,88,78,87,84,76
45,Tom Kite,TK,Classic,US,2,74,86,87,87,85,85,88,90,84,90,86,78
46,Paul Azinger,PA,Classic,US,2,78,82,86,87,84,88,87,82,86,84,85,80
